1岿 21老	1	0	0	1	0	0
1岿 22老	0	0	0	1	0	0
1岿 23老	0	0	0	1	0	0
1岿 24老	1	0	0	2	0	0
1岿 25老	0	0	0	2	0	0
1岿 26老	0	0	0	2	0	0
1岿 27老	2	0	0	4	0	0
1岿 28老	0	0	0	4	0	0
1岿 29老	0	0	0	4	0	0
1岿 30老	3	0	0	7	0	0
1岿 31老	4	0	0	11	0	0
2岿 1老	1	0	0	12	0	0
2岿 2老	3	0	0	15	0	0
2岿 3老		0	0	15	0	0
2岿 4老	1	0	0	16	0	0
2岿 5老	5	1	0	21	1	0
2岿 6老	3	1	0	24	2	0
2岿 7老	0	0	0	24	2	0
2岿 8老	0	0	0	24	2	0
2岿 9老	3	1	0	27	3	0
2岿 10老	0	1	0	27	4	0
2岿 11老	1	0	0	28	4	0
2岿 12老	0	3	0	28	7	0
2岿 13老	0	0	0	28	7	0
2岿 14老	0	0	0	28	7	0
2岿 15老	0	2	0	28	9	0
2岿 16老	1	0	0	29	9	0
2岿 17老	1	1	0	30	10	0
2岿 18老	9	2	0	39	12	0
2岿 19老	7	4	0	46	16	0
2岿 20老	58	0	1	104	16	1
2岿 21老	100	1	0	204	17	1
2岿 22老	229	1	2	433	18	3
2岿 23老	175	0	3	608	18	6
2岿 24老	235	4	2	843	22	8
2岿 25老	134	0	3	977	22	11
2岿 26老	284	2	1	1261	24	12
2岿 27老	505	2	1	1766	26	13
2岿 28老	571	1	3	2337	27	16
2岿 29老	813	1	1	3150	28	17
3岿 1老	586	2	5	3736	30	22
3岿 2老	476	1	6	4212	31	28
3岿 3老	600	3	3	4812	34	31
3岿 4老	516	7	3	5328	41	34
3岿 5老	438	47	8	5766	88	42
3岿 6老	518	20	2	6284	108	44
3岿 7老	483	10	5	6767	118	49
3岿 8老	367	12	1	7134	130	50
3岿 9老	248	36	4	7382	166	54
3岿 10老	131	81	4	7513	247	58
3岿 11老	242	41	5	7755	288	63
3岿 12老	114	45	4	7869	333	67
3岿 13老	110	177	5	7979	510	72
3岿 14老	107	204	3	8086	714	75
3岿 15老	76	120	0	8162	834	75
3岿 16老	74	303	6	8236	1137	81
3岿 17老	84	264	3	8320	1401	84
3岿 18老	93	139	7	8413	1540	91
3岿 19老	152	407	3	8565	1947	94
3岿 20老	87	286	8	8652	2233	102
3岿 21老	147	379	2	8799	2612	104
3岿 22老	98	297	2	8897	2909	106
3岿 23老	64	257	7	8961	3166	118
3岿 24老	76	341	6	9037	3507	124
3岿 25老	100	223	6	9137	3730	130
